Missions_Leader_Directives,,,,,,,,,,,
,,,,,,,,,,,
MissionId,LeaderType,MissionCategory,Tier,MissionName,Trigger,ObjectiveTemplate,LocationRule,RequiredSystems,RewardDesign,FailurePressure,ImplementationNotes
LD_LOGISTICS_002,Quartermaster / Logistics Leader,Leader Directive,T0,Deep Storage Hurts,Players rely on backpack deep storage.,Stage critical inputs in quick depots and measure extraction time reduction.,Base stations.,Depots / Routes / Deep Storage,DeepStorageAccess warnings; less worker thrash.,Crafting feels broken.,
LD_LOGISTICS_003,Quartermaster / Logistics Leader,Leader Directive,T1,Pantry Math,Food buffer below target.,"Set TargetStockpile and ration categories: safe, suspect, emergency, livestock feed.",Pantry.,Depots / Routes / Deep Storage,StorageDeficitMod visible; hunger warnings better.,Hunger spiral.,
LD_LOGISTICS_004,Quartermaster / Logistics Leader,Leader Directive,T1,Route Ledger,Travel time dominates a role.,"Mark start/end, hazard, rest stop, and depot for one route.",Any production route.,Depots / Routes / Deep Storage,TripRate and route risk visible.,Workers waste day walking.,
LD_LOGISTICS_005,Quartermaster / Logistics Leader,Leader Directive,T1,Ammunition Locker,Armory crafting pulls wrong ammo/parts.,Build or designate ammunition locker with ammo family tags.,Armory/station.,Depots / Routes / Deep Storage,Ammo crafting/patrol access stabilized.,Raid defense ammo confusion.,
LD_LOGISTICS_006,Quartermaster / Logistics Leader,Leader Directive,T2,Porter Chain,Multiple departments fight hauling capacity.,Assign porter route priorities and build one relay depot.,Base/route.,Depots / Routes / Deep Storage,Hauling conflicts reduced; LeaderOverrideMod routing.,Critical inputs starve.,
LD_LOGISTICS_007,Quartermaster / Logistics Leader,Leader Directive,T2,Spoilage Audit,Food spoils before use.,"Create food rotation: fresh, cooked, dried, suspect, burn/discard.",Pantry/kitchen.,Depots / Routes / Deep Storage,Spoil waste reduced; +Civic morale.,Food waste continues.,
LD_LOGISTICS_008,Quartermaster / Logistics Leader,Leader Directive,T2,Convoy Rules,Forward site or faction trade route active.,"Plan convoy with escort, cargo manifest, and fallback cache.",Between camps/sites.,Depots / Routes / Deep Storage,Trade/forward logistics safe; faction trust.,Lost cargo/ambush.,
LD_LOGISTICS_009,Quartermaster / Logistics Leader,Leader Directive,T3,Base Layout Intervention,Station pull radius failures across base.,Move or duplicate depots; prove {Count:3} stations pull valid inputs.,Base layout.,Depots / Routes / Deep Storage,PullRadiusMeters QA; station output improves.,Workers idle/stall.,
LD_LOGISTICS_010,Quartermaster / Logistics Leader,Leader Directive,T3,Refugee Intake Queue,Refugees accepted.,"Sort newcomers into quarantine, ration, role interview, bunk assignment.",Base/civic area.,Depots / Routes / Deep Storage,Refugee friction down; possible good recruit.,Disease/food/morale shock.,
LD_LOGISTICS_011,Quartermaster / Logistics Leader,Leader Directive,T4,Caravan Route,Long-haul resources needed.,"Create CaravanRouteId with mount/porter, rest, cache, and danger thresholds.",Deep route.,Depots / Routes / Deep Storage,Automated long-haul unlock for route.,Manual hauling bottleneck.,
LD_LOGISTICS_012,Quartermaster / Logistics Leader,Leader Directive,T5,Master Quartermaster Audit,Logistics leader high level.,No stockout across 5 categories for {Days:3-5}.,Base-wide.,Depots / Routes / Deep Storage,Retire one logistics condition; TargetStockpile tuning saved.,Debuff persists.,
LD_MEDICAL_001,Medical Leader,Leader Directive,T0,"Clean Hands, Fewer Graves",First injury/sickness.,"Build triage spot, store bandages, and separate sick from food prep.",Base med area.,Triage Cot / Med Storage / Quarantine,Treatment flow unlocked; +MI for treated NPCs.,Infection/morale shock.,
LD_MEDICAL_002,Medical Leader,Leader Directive,T0,The Nose Knows Rot,Spoiled/contaminated food caused sickness.,"Identify source, dispose/burn, and treat affected survivors.",Pantry/med.,Triage Cot / Med Storage / Quarantine,Symptom chain reduced; civic trust.,Disease spreads.,
LD_MEDICAL_003,Medical Leader,Leader Directive,T1,Splints and Schedules,Workers injured or overfatigued.,Craft {Count:2-6} splints/bandages and adjust work-rest schedule.,Med/work board.,Triage Cot / Med Storage / Quarantine,RestRecovery effective; injuries heal faster.,Injured workers worsen.,
LD_MEDICAL_004,Medical Leader,Leader Directive,T1,Quarantine Is Not Cruel,Unknown parasite/toxin risk.,Set quarantine bed/pen and enforce separate tools/food/water.,Med/quarantine.,Triage Cot / Med Storage / Quarantine,Spread risk down; +Research link.,Outbreak risk.,
LD_MEDICAL_005,Medical Leader,Leader Directive,T1,Sunken Morale Ward,Deaths/injuries caused morale crash.,Hold treatment/comfort routine for injured and witnesses.,Med/civic.,Triage Cot / Med Storage / Quarantine,MI/MG recovery; condition shock reduced.,Desertion risk.,
LD_MEDICAL_006,Medical Leader,Leader Directive,T2,Field Medic Kit,Expeditions suffer untreated wounds.,Assemble field kits from med components and assign to expedition loadout.,Med storage/expedition board.,Triage Cot / Med Storage / Quarantine,Expedition survival improved; no free healing item from NPC.,Bleedout risk.,
LD_MEDICAL_007,Medical Leader,Leader Directive,T2,Antibiotic Stewardship,Antibiotic stores low/misused.,Set use thresholds and research substitutes; treat only confirmed cases.,Med/lab.,Triage Cot / Med Storage / Quarantine,Med waste down; treatment success visible.,Resistance/supply collapse.,
LD_MEDICAL_008,Medical Leader,Leader Directive,T2,Bleed Route,Raid casualty response slow.,Map defender-to-triage path and run carry drill.,Base defense route.,Triage Cot / Med Storage / Quarantine,Revive/TreatmentTime down during raids.,Deaths from delay.,
LD_MEDICAL_009,Medical Leader,Leader Directive,T3,Trauma After Raid,Recent raid loss.,Treat wounds and assign rest/memorial/repair tasks to prevent panic chain.,Base med/civic.,Triage Cot / Med Storage / Quarantine,Leader condition probability lowered; MG recovery.,Grief Spiral risk.,
LD_MEDICAL_010,Medical Leader,Leader Directive,T3,Toxic Exposure Protocol,ACCESS_HAZMAT/RAD/COLD expedition planned.,"Prepare gear, decon, and med supplies before departure.",Expedition prep.,Triage Cot / Med Storage / Quarantine,Hazard expedition risk reduced.,Severe illness/death.,
LD_MEDICAL_011,Medical Leader,Leader Directive,T4,Hospital From Scraps,Mid-late settlement path.,"Build durable med station, quarantine, clean water link, and supply cache.",Base med wing.,Triage Cot / Med Storage / Quarantine,Settlement stability prerequisite; TreatmentTime down.,Medical bottleneck persists.,
LD_MEDICAL_012,Medical Leader,Leader Directive,T5,Master Care Review,Medical leader high level.,Complete 3 days with no untreated critical injury and no preventable infection spread.,Base-wide.,Triage Cot / Med Storage / Quarantine,Retire one medical condition; MG boost.,Debuff persists.,
LD_CIVIC_001,Civic / Morale Leader,Leader Directive,T0,Someone Has To Say It,MG below 55 or first dispute.,"Hold camp talk: explain shortages, assign work, set one visible goal.",Civic space/campfire.,Safe Rooms / Mess / Bunks / Council Space,MG +3; unlock morale report.,Silent morale decay.,
LD_CIVIC_002,Civic / Morale Leader,Leader Directive,T0,Beds Are Morale,Poor shelter/rest recovery.,Build/assign bunks and respect rest schedule.,Base housing.,Safe Rooms / Mess / Bunks / Council Space,EnergyRecoveryMult from shelter; +MI.,Fatigue and resentment.,
LD_CIVIC_003,Civic / Morale Leader,Leader Directive,T1,"Hide, Defend, Flee",Raid risk and civilians unprepared.,Designate safe room and rally point; stock minimal emergency supplies.,Base safe room/rally.,Safe Rooms / Mess / Bunks / Council Space,Civilian response clarity; fewer panic deaths.,Random fleeing/casualties.,
LD_CIVIC_004,Civic / Morale Leader,Leader Directive,T1,The Fair Share Problem,Rations unequal or perceived hoarding.,Set ration policy and apply consistently for {Days:2}.,Pantry/civic.,Safe Rooms / Mess / Bunks / Council Space,MoraleCompass policy recorded; MG stable.,Factional resentment.,
LD_CIVIC_005,Civic / Morale Leader,Leader Directive,T1,Leadership Is Earned,New/inexperienced leader appointed.,"Have leader shadow, explain plan, and complete small success witnessed by group.",Any department.,Safe Rooms / Mess / Bunks / Council Space,Authority Gap debuff reduced; LeaderXP.,Workers ignore leader.,
LD_CIVIC_006,Civic / Morale Leader,Leader Directive,T2,Refugees At The Fence,Refugee group arrives.,"Choose accept, refuse, redirect, or sponsor to allied camp; prepare consequences.",Base gate/faction route.,Safe Rooms / Mess / Bunks / Council Space,Camp culture shift; labor/diplomacy outcome.,Refugees become raiders/rivals.,
LD_CIVIC_007,Civic / Morale Leader,Leader Directive,T2,Justice After Theft,Internal theft/sabotage.,"Investigate, mediate, punish, forgive, or exile according to camp policy.",Base/civic.,Safe Rooms / Mess / Bunks / Council Space,Trust or fear modifiers; leader moral alignment shifts.,Repeat theft/desertion.,
LD_CIVIC_008,Civic / Morale Leader,Leader Directive,T2,The Work No One Sees,Support role exhaustion.,Rotate cooks/haulers/caretakers and acknowledge support work.,Base systems.,Safe Rooms / Mess / Bunks / Council Space,MR non-combat roles +; burnout down.,Support workers quit/refuse.,
LD_CIVIC_009,Civic / Morale Leader,Leader Directive,T3,Faction Terms,Negotiation with good/neutral faction.,"Choose treaty terms: trade, shared route, mutual defense, refugee exchange.",Faction camp/base.,Safe Rooms / Mess / Bunks / Council Space,"Faction access, not arbitrary loot; alignment effects.",Faction drifts hostile.,
LD_CIVIC_010,Civic / Morale Leader,Leader Directive,T3,Memorial Wall,Deaths accumulate.,Build memorial/record and hold service; optional vow policy.,Base civic.,Safe Rooms / Mess / Bunks / Council Space,Grief Spiral risk down; MG recovery.,Trauma worsens.,
LD_CIVIC_011,Civic / Morale Leader,Leader Directive,T4,The Camp We Are Becoming,Policies diverge from leader moral compasses.,"Hold council to choose camp identity vector: Commonwealth, Security, Science, Autonomy, Isolation, Extraction.",Civic hall.,Safe Rooms / Mess / Bunks / Council Space,CampStyleTags set; push/pull effects begin.,Silent defections/faction splits.,Major system mission.
LD_CIVIC_012,Civic / Morale Leader,Leader Directive,T5,Master Civic Review,Civic leader high level.,"Keep MG>70, no untreated grievance, no preventable desertion for {Days:5}.",Base-wide.,Safe Rooms / Mess / Bunks / Council Space,Retire one civic condition; camp policy stability bonus.,Debuff persists.,
