Variable,Kind,Default / Example,What it does,Where it goes,Source
Channel,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
ChopTimePerLog,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
ChuteGate_T1,scalar,,Notes / Defaults: For capture/handling; reduces injury chance during taming.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx
ClaimedByPlayer,scalar,,ParagraphDef: ['player installs minimal infrastructure (depots/relay) and maintains the site as a forward node.'],Game Tunables / Runtime State,JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx
ClaimMaxBuildables,int,,Max buildables supported under a claim.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
ClaimRadiusMeters,scalar,,Radius covered by a claim-capable module.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
ClueCap,scalar,5,5,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Clues,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
CM,scalar,,Example: CM = 1 + 0.06*Complexity,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
COM,stat,,"Leadership (0–10).: Composure (0–10). Used for panic/condition triggers. | Range: 0–10 | Primary Effects (quantitative): Panic threshold, stress recovery, morale shock resistance",Runtime: Character Stats,"JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx"
CommandFailRate,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
Common,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Component,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Condition,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
ConditionMult,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
Container,,,"ContainerType, Slots, LootGroupMask, IsSealed",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ContainerCount,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ContainerType,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ContaminationBaseChancePerDay,scalar,0.25 (for moving unclassified plants to production),0.25 (for moving unclassified plants to production),Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
ContaminationChancePerDay,unknown,,Example: ContaminationChancePerDay = 0.25 * (1 - 0.07*FarmingSkill) * (1 - 0.10*ResearchProtocolLevel),Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
ControlState,scalar,,"Meaning: Ownership/control state: Occupied, Cleared, ClaimedByPlayer, Reclaimed, Burned. | Meaning: Ownership/occupation state of a Remnant site or outpost.",Data: FactionDefs / RemnantSiteDefs,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx"
CookedRiskMult,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
CookEffect,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
CooldownPerLeaderDays,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
Cost,scalar,,Example: Cost = C_t*SM*PM*CM,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
CoverageThresholdPosts,scalar,tunable; number of posts required for full perimeter coverage,tunable; number of posts required for full perimeter coverage,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
CraftUnits,float,,Abstract work units consumed by a craft (scales with station throughput).,Recipes,JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX
CrossRolePenalty,scalar,In-role=1.00; Adjacent-ish=1.15; Wrong=1.35–1.60,Meaning / Where Used: Penalty multiplier when NPC performs a non-primary role.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, Jovian_Role_System_GDD_High_Level_v0_1-1.docx, Jovian_Role_Sys… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
CrossRoleXPMultiplier,scalar,In-role 1.00; Adjacent-ish 0.85; Wrong 0.65 (tunable).,In-role 1.00; Adjacent-ish 0.85; Wrong 0.65 (tunable).,Data: RoleParams / Runtime: NPC SkillState,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
CrowdFactor,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
d,,,Normalized depth 0..1 used to bias difficulty and tier curves.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
d10,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DailyTick,scalar,1x/day,"Formula / Notes: Aggregates morale, decay, upkeep, faction movement.",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, JIM_Mounts_and_An… | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx"
DailyYield,unknown,,Example: DailyYield = PlotYieldUnitsPerDay * (1 + 0.10*FarmingSkill) * WaterFitFactor * SoilFitFactor * LeaderFactor,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Role_Syste… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
DamageDecayM,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
DamageDistMult,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
DamageIn,float,,Incoming damage before mitigation.,Damage pipeline (buildables),Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX
DamagePerHit,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
DamageTaken,float,,Damage applied after mitigation.,Damage pipeline (buildables),Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
DAWN,,,45 s,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
day,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Interloper_Moon_GDD_v0_5_Draft-1.docx
DAY_LEN_REAL,scalar,25 min,Formula / Notes: Player-tunable 20–30 minutes.,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DAY_LEN_SEC,scalar,1500 s,Formula / Notes: DAY_LEN_REAL*60,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DAYLIGHT_FRACTION,scalar,0.60,Formula / Notes: Fraction of day that is lit.,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Days,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
DebrisFieldId,scalar,,Meaning: Optional cluster id for grouped crash debris POIs.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
DecayDamagePerDay,scalar,,Absolute HP lost per day (alternate model). | Notes: Absolute model.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayDebtMultiplier,float,,Multiplier applied when decay debt accumulates (offline/overflow).,Decay system (DecayClassDef),JIM_Buildables...v0_1_VARFIX
DecayEnabled,bool,,Whether decay applies.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayGraceDays,float,,Days before decay starts (grace).,Decay system (DecayClassDef),JIM_Buildables...v0_1_VARFIX
DecayInClaimedZone,bool,,Decay suppressed inside an active claim.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayInSafeZone,bool,,Decay suppressed in safe zones.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayPausedWhenOccupied,bool,,"If true, decay pauses while actively occupied (per class).",Decay system (DecayClassDef),JIM_Buildables...v0_1_VARFIX
DecayPausedWhenPowered,bool,,Power prevents decay for relevant modules.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayPerDayBase,float,,Base decay amount per day (HP or fraction per class definition).,Decay system (DecayClassDef),JIM_Buildables...v0_1_VARFIX
DecayRatePerDay,scalar,,Fraction of HP lost per day while decaying. | Notes: Fractional model.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayStartDays,scalar,,Grace period before decay begins.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DecayWarningThreshold,scalar,,Percent HP where warnings trigger.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
Default,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DEFEND,enum,,Probability: Sigmoid((MI-55)/8)*Armory*(0.8+0.05*LeaderPresence) | Notes: Grab weapons if reachable,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interlop… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
DepositTimeSeconds,scalar,10s,10s,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Derived,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DetectChancePerSecond,unknown,,Example: DetectChancePerSecond = BaseDetect * (1 + 0.08*Perception) * LightFactor * NoiseFactor * StressFactor,Runtime: Combat Systems / WeaponDefs,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Role_Syste… | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
DetectionRadius,scalar,,Formula: DR = BaseDR*(1+0.08*PER)*EnvVisMult | Notes: Used for base warning and patrol.,Runtime: Combat Systems / WeaponDefs,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
DetectScore,scalar,,Formula: DS = wN*N + wL*L + wS*S | Meaning: Weights tuned per enemy type,Runtime: Combat Systems / WeaponDefs,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
DEX,stat,,"Range: 0–10 | Primary Effects (quantitative): Aim stability, finesse work speed, reload/handling",Runtime: Character Stats,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Die,,,d10,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
Diff,,,Schema field (table header).,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DIFFICULTY_MULT,scalar,Easy 0.85 / Normal 1.00 / Hard 1.15,"Notes: Global scalar applied to threat, damage taken, scarcity, etc.",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DisplayName,string,,"Type: string | Notes: Player-facing name.
---
string",DataTable: PlaceablesCatalog (PlaceableDef) | Game Tunables / Runtime State,"JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX; JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx, JIM_Items_and_Loot_Tables_GDD_Adde… | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE.docx | JIM_Crafting_Fabrication_Grinding_and_Construction_GDD_Addendum_v0_5_EXPANSIVE_VARFIX.docx | JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_Stations_and_Tech_Blueprint_Tree_GDD_v0_1_1.docx"
Disruption,,,penalty applied due to raids/power outages/injuries/missing prerequisites,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Dose,scalar,,Example: Dose = mg_toxin_per_serving * servings,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx, Jovian_Interloper…"
DowngradeRefundScalar,scalar,,Portion refunded on dismantle/downgrade.,DataTable: PlaceablesCatalog (PlaceableDef),JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_1.docx
DR,scalar,,Example: DR = BaseDR*(1+0.08*PER)*EnvVisMult,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Drain,unknown,,Example: Drain = BaseDrain*(0.7+0.6*E),Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Drop,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
DS,scalar,,Example: DS = wN*N + wL*L + wS*S,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
DS_pred,unknown,,Example: DS_pred = wN*N + wL*L + wS*S,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
DuplicatePenaltyMult,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
Durability,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1.docx | JIM_Buildables_and_Construction_Blueprints_Catalog_GDD_Addendum_v0_1_VARFIX.docx
DurabilityMax,scalar,,Type: int | Notes: 0 for non-durable items.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
DurationDays,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
DUSK_BLEND,,,45 s,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
DuskTick,scalar,1x/day,"Formula / Notes: Triggers night multipliers (raids, predators, lighting).",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
E_mount,unknown,,Example: E_mount = (RiderWeight + CargoWeight) / MountCC,Data: MountDefs / Husbandry,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
EcologyVariantSeed,unknown,,"Example: EcologyVariantSeed = Hash(WorldSeed, ""ECOLOGY"")",Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
Eff,scalar,,Example: Eff = Eff_F*Eff_M*GearMult*LeaderBuff,Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
Eff_F,unknown,,"Example: Eff_F = Clamp(1 - F/140, 0.35, 1.0)",Game Tunables / Runtime State,"JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx"
Eff_group,scalar,,Fatigue efficiency multiplier.: Group work multiplier after leadership and auras.,Game Tunables / Runtime State,JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx | JIM_Leadership_Auras_GDD_Addendum_v0_1-1_VARFIX.docx
Eff_M,scalar,,Fatigue efficiency multiplier.: Morale efficiency multiplier. | Example: Eff_M = 0.70 + 0.003*Morale,Game Tunables / Runtime State,"JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx"
EffectiveLootTier,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
EggCalGain,unknown,,Example: EggCalGain = 140,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
EggsPerDay,unknown,,Example: EggsPerDay = 0.6,Game Tunables / Runtime State,"JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_1.docx, JIM_Flora_Fauna_Bestiary_GDD_Addendum_v0_1_2.docx"
EmptySlotChance,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
EncumbranceFactor,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx | JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX.docx
Engineer,int,,Role skill level for engineering/construction.,Player/NPC SkillLevel[Engineer] (canonical RoleSkill token),Role_System (Math + High Level) | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
EngineeringXPPerMinuteMaintenance,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
EngineeringXPPerPartFabricated,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
EngineeringXPPerRepairHPRestored,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Epic,,,Schema field (table header).,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
FabricationRatePerMinute,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
FacilityFactor,scalar,,Meaning / Where Used: Facility multiplier for lab/research throughput. | Meaning: Throughput multiplier from facility quality/tier.,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx, Jovian_Role_Sy… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx"
FactionCapitalBase,scalar,,"ParagraphDef: ['rare, delayed reveal via stacked IntelFragments.', 'cannot be inside StartSafeRadiusMeters; must be >= MinFactionBaseDistanceMeters from other capitals; must be >= MinRemnantToFactionBaseMeters from any…",Data: FactionDefs / RemnantSiteDefs,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
FactionId,scalar,,Meaning: Unique faction identifier.,Data: FactionDefs / RemnantSiteDefs,JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx
FactionOutpost,scalar,,"ParagraphDef: ['satellite node, relay camp, depot, or occupied POI conversion.', 'must be >= MinFactionOutpostDistanceMeters from any other outpost; should not spawn inside StartSafeRadiusMeters.']",Data: FactionDefs / RemnantSiteDefs,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
FactionStrength,scalar,,Formula: FS = Fighters + 0.6*Support + 0.4*GearScore | Notes: Used in raid decisions,Data: FactionDefs / RemnantSiteDefs,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
FactionTickHours,scalar,,Meaning: Strategic evaluation tick interval for a faction (separate from continuous work).,Data: FactionDefs / RemnantSiteDefs,JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx
FailureChancePerHour,scalar,BaseFailure + 0.12 if defective + 0.08 if power unstable,BaseFailure + 0.12 if defective + 0.08 if power unstable,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
Farm,int,,Role skill level for farming.,Player/NPC SkillLevel[Farm] (canonical RoleSkill token),Role_System (Math + High Level) | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx | Jovian_Interloper_Moon_Math_Bible_FULL_v0_7_VARFIX.docx
FarmingXPPerHarvestUnitDeposited,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
FarmingXPPerMinuteActive,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
FarmingXPPerQuarantineCycleCompleted,,,Referenced symbol in formula text.,Game Tunables / Runtime State,Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx
FatigueEff,scalar,Min 35%,"Formula: Eff_F = Clamp(1 - F/140, 0.35, 1.0)",Game Tunables / Runtime State,Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx
FeedQualityFactor,float,,Feed quality multiplier (0..1+).,Husbandry,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1_VARFIX
FeedTrough_T1,scalar,,Notes / Defaults: Enables scheduled feeding; improves FeedQualityFactor stability.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx
Field,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
FinalDamagePerHit,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
FinalPrice,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
FLEE,enum,,Probability: Sigmoid((35-MI)/7)*(0.7+0.2*BreachSeverity) | Notes: Leave base or retreat,Game Tunables / Runtime State,"JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx, JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx, Jovian_Interlo… | JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx | Jovian_Role_System_GDD_Math_Implementation_v0_1-1.docx"
Floodlight_Post_T1,scalar,,Notes / Defaults: Reduces DarknessFactor; reduces PredatorFactor near pens.,Game Tunables / Runtime State,JIM_Mounts_and_Animal_Husbandry_GDD_Addendum_v0_1.docx
